Type,Local ID,Message,Field 0,Value 0,Units 0,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11
Data,0,length,message_index,29,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916275000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,10,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,30,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916303000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,31,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916333000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,32,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916362000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,10,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,33,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916391000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,34,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916420000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,11,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,35,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916446000,ms,total_elapsed_time,34.0,s,total_timer_time,34.0,s,total_strokes,12,strokes,avg_speed,0.735,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,36,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916480000,ms,total_elapsed_time,31.0,s,total_timer_time,31.0,s,total_strokes,11,strokes,avg_speed,0.806,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,37,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916511000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,38,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916540000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,11,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,39,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916566000,ms,total_elapsed_time,35.0,s,total_timer_time,35.0,s,total_strokes,11,strokes,avg_speed,0.714,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,40,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916601000,ms,total_elapsed_time,27.0,s,total_timer_time,27.0,s,total_strokes,11,strokes,avg_speed,0.926,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,41,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916628000,ms,total_elapsed_time,33.0,s,total_timer_time,33.0,s,total_strokes,11,strokes,avg_speed,0.758,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,42,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916661000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,11,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,43,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916687000,ms,total_elapsed_time,33.0,s,total_timer_time,33.0,s,total_strokes,10,strokes,avg_speed,0.758,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,44,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916720000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,45,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916749000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,10,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,46,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916778000,ms,total_elapsed_time,27.0,s,total_timer_time,27.0,s,total_strokes,12,strokes,avg_speed,0.926,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,47,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916805000,ms,total_elapsed_time,32.0,s,total_timer_time,32.0,s,total_strokes,10,strokes,avg_speed,0.781,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,48,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916837000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,49,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916867000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,11,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,50,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916893000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,11,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,51,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916919000,ms,total_elapsed_time,35.0,s,total_timer_time,35.0,s,total_strokes,12,strokes,avg_speed,0.714,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,52,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916954000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,10,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,53,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745916982000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,11,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,54,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917008000,ms,total_elapsed_time,33.0,s,total_timer_time,33.0,s,total_strokes,13,strokes,avg_speed,0.758,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,55,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917041000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,56,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917071000,ms,total_elapsed_time,24.0,s,total_timer_time,24.0,s,total_strokes,11,strokes,avg_speed,1.042,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,57,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917095000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,12,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,58,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917124000,ms,total_elapsed_time,29.0,s,total_timer_time,29.0,s,total_strokes,11,strokes,avg_speed,0.862,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,59,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917153000,ms,total_elapsed_time,34.0,s,total_timer_time,34.0,s,total_strokes,11,strokes,avg_speed,0.735,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,60,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917187000,ms,total_elapsed_time,31.0,s,total_timer_time,31.0,s,total_strokes,11,strokes,avg_speed,0.806,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,61,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917218000,ms,total_elapsed_time,22.0,s,total_timer_time,22.0,s,total_strokes,10,strokes,avg_speed,1.136,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,62,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917240000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,12,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,63,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917270000,ms,total_elapsed_time,30.0,s,total_timer_time,30.0,s,total_strokes,11,strokes,avg_speed,0.833,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,64,,timestamp,1745915405000,ms,event,28,,event_type,1,,start_time,1745917300000,ms,total_elapsed_time,35.0,s,total_timer_time,35.0,s,total_strokes,12,strokes,avg_speed,0.714,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
